                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0107,                 2.1035,                 1.6384,                0.54053,                 0.5913,                0.57297,                0.22343,                 2.1165,                 1.5126,                 1.5837,               0.070068,              0.0033258,              0.0033258
                      1,                 1.6754,                 1.4214,                 1.3454,                0.65669,                0.60232,                0.62257,                 0.2569,                 2.0599,                 1.3685,                 1.4635,               0.040046,              0.0066372,              0.0066372
                      2,                   1.67,                 1.3852,                 1.3162,                  0.632,                0.61219,                0.60088,                0.22217,                  2.148,                 1.3413,                 1.5659,               0.010002,              0.0099265,              0.0099265
                      3,                 1.6992,                 1.3879,                 1.3236,                0.68378,                0.63207,                0.63197,                0.20155,                 2.3037,                 1.3779,                 1.6126,               0.009901,               0.009901,               0.009901
                      4,                 1.6819,                 1.3436,                 1.3168,                0.62895,                0.63043,                0.60928,                0.25423,                 2.0305,                 1.4166,                 1.4676,               0.009901,               0.009901,               0.009901
                      5,                  1.671,                 1.3044,                 1.3079,                0.66892,                0.59123,                0.62027,                 0.2387,                 2.1286,                 1.3718,                 1.5058,               0.009868,               0.009868,               0.009868
                      6,                 1.6395,                 1.2475,                 1.2926,                0.68153,                0.63152,                0.68444,                0.28044,                 1.9976,                 1.2603,                 1.4622,               0.009835,               0.009835,               0.009835
                      7,                 1.6096,                 1.2167,                 1.2815,                0.71496,                0.68601,                0.71141,                0.26045,                 2.1486,                 1.2798,                 1.5626,               0.009802,               0.009802,               0.009802
                      8,                 1.5837,                 1.1778,                 1.2773,                0.65851,                0.66576,                0.68639,                  0.289,                 1.9762,                 1.2276,                 1.4218,               0.009769,               0.009769,               0.009769
                      9,                 1.5735,                 1.1454,                 1.2609,                0.68425,                0.65598,                0.65224,                0.26032,                 2.0635,                 1.2321,                 1.5195,               0.009736,               0.009736,               0.009736
                     10,                 1.5753,                 1.1217,                 1.2624,                0.63532,                0.66293,                0.66196,                0.27151,                 2.0186,                 1.1769,                 1.4767,               0.009703,               0.009703,               0.009703
                     11,                 1.5487,                 1.0939,                 1.2462,                 0.7054,                 0.6288,                0.67506,                0.27372,                 1.9861,                 1.3004,                 1.4549,                0.00967,                0.00967,                0.00967
                     12,                 1.5457,                 1.0859,                 1.2447,                0.73664,                 0.6538,                0.71389,                0.30943,                 1.9402,                 1.1148,                 1.4501,               0.009637,               0.009637,               0.009637
                     13,                 1.5208,                 1.0636,                 1.2311,                0.79348,                0.64192,                0.72464,                0.30535,                 1.9958,                  1.093,                 1.4592,               0.009604,               0.009604,               0.009604
                     14,                 1.5076,                 1.0361,                  1.226,                0.79171,                0.64239,                 0.7284,                0.29183,                 2.0647,                 1.1091,                 1.4993,               0.009571,               0.009571,               0.009571
                     15,                 1.4952,                  1.021,                 1.2191,                0.72914,                0.68967,                0.74365,                0.30239,                 2.0022,                 1.1366,                 1.4826,               0.009538,               0.009538,               0.009538
                     16,                  1.478,                0.99759,                 1.2092,                0.74121,                0.71633,                0.74307,                0.30719,                 2.0152,                 1.1253,                 1.4755,               0.009505,               0.009505,               0.009505
                     17,                 1.4728,                0.98345,                 1.2058,                0.72519,                0.68489,                0.73855,                0.30116,                 2.0461,                 1.0902,                  1.478,               0.009472,               0.009472,               0.009472
                     18,                 1.4713,                0.97629,                 1.2089,                0.74359,                0.75632,                0.77587,                0.32353,                 1.9036,                 1.0283,                 1.4085,               0.009439,               0.009439,               0.009439
                     19,                 1.4571,                0.96612,                  1.201,                0.79624,                0.72594,                0.78815,                0.34597,                 1.9287,                 1.0339,                 1.4176,               0.009406,               0.009406,               0.009406
                     20,                 1.4569,                0.96313,                 1.2023,                0.77526,                0.68832,                0.74322,                0.29731,                 2.0254,                  1.059,                 1.4818,               0.009373,               0.009373,               0.009373
                     21,                 1.4423,                0.94292,                 1.1896,                0.76629,                0.74463,                0.76963,                 0.3262,                  1.933,                 1.0059,                 1.4325,                0.00934,                0.00934,                0.00934
                     22,                 1.4325,                0.92929,                 1.1854,                0.80007,                0.67978,                0.76344,                0.31029,                  1.981,                 1.0455,                   1.43,               0.009307,               0.009307,               0.009307
                     23,                 1.4252,                 0.9311,                 1.1887,                0.71132,                0.69242,                0.72995,                0.32755,                 1.8717,                 1.0848,                 1.3724,               0.009274,               0.009274,               0.009274
                     24,                 1.4291,                 0.9213,                 1.1818,                0.78318,                0.75062,                0.79063,                0.34433,                 1.9532,                0.97405,                 1.4142,               0.009241,               0.009241,               0.009241
