                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9887,                 2.0705,                 1.6255,                0.56092,                0.63261,                0.56047,                 0.2228,                 2.0518,                 1.3953,                 1.5336,               0.070068,              0.0033258,              0.0033258
                      1,                 1.7071,                 1.4256,                 1.3425,                0.57744,                0.68533,                0.68007,                0.28593,                 1.9413,                 1.3224,                 1.3883,               0.040002,              0.0065932,              0.0065932
                      2,                 1.6743,                 1.3823,                 1.3089,                0.64959,                0.63822,                0.63031,                  0.221,                 2.1393,                 1.3524,                 1.4826,              0.0098697,              0.0097946,              0.0097946
                      3,                 1.7001,                 1.4064,                 1.3363,                0.63444,                 0.6375,                0.65801,                0.25402,                 2.0434,                 1.2974,                 1.4737,               0.009703,               0.009703,               0.009703
                      4,                 1.6861,                 1.3427,                 1.3129,                0.64546,                   0.65,                 0.6787,                0.27609,                 1.9602,                 1.2367,                 1.4725,               0.009703,               0.009703,               0.009703
                      5,                 1.6631,                 1.2931,                 1.3075,                0.69426,                0.67904,                0.71475,                0.27498,                 2.0313,                 1.2005,                 1.4681,               0.009604,               0.009604,               0.009604
                      6,                 1.6365,                 1.2562,                 1.3024,                0.67395,                0.58315,                0.65263,                0.26238,                 2.0363,                 1.3854,                 1.4892,               0.009505,               0.009505,               0.009505
                      7,                 1.6221,                 1.2142,                 1.2857,                0.59059,                0.71685,                0.67888,                0.26582,                 2.0121,                 1.2386,                 1.4409,               0.009406,               0.009406,               0.009406
                      8,                 1.5886,                 1.1625,                 1.2687,                0.69123,                0.71256,                 0.6724,                0.25517,                 2.0951,                 1.1721,                 1.5486,               0.009307,               0.009307,               0.009307
                      9,                 1.5718,                 1.1338,                 1.2607,                0.72011,                0.67011,                0.70387,                0.26329,                 2.1004,                 1.1618,                 1.5148,               0.009208,               0.009208,               0.009208
                     10,                 1.5599,                 1.1032,                 1.2498,                0.69559,                0.70699,                0.70093,                0.28685,                 1.9931,                 1.1482,                 1.4607,               0.009109,               0.009109,               0.009109
                     11,                 1.5432,                 1.0852,                 1.2447,                0.77408,                0.64104,                0.73352,                0.29379,                 2.0071,                  1.148,                 1.4529,                0.00901,                0.00901,                0.00901
                     12,                 1.5303,                 1.0758,                  1.238,                0.70113,                0.71848,                0.72927,                0.32968,                   1.84,                 1.1325,                 1.3819,               0.008911,               0.008911,               0.008911
                     13,                 1.5091,                 1.0399,                 1.2341,                0.78145,                0.71902,                0.75101,                0.32958,                 1.8845,                 1.0856,                 1.3881,               0.008812,               0.008812,               0.008812
                     14,                 1.4968,                 1.0184,                 1.2211,                0.75055,                0.70158,                 0.7396,                0.30405,                 2.0085,                 1.0694,                 1.4465,               0.008713,               0.008713,               0.008713
                     15,                 1.4922,                 1.0106,                 1.2153,                0.72842,                0.77315,                0.77895,                 0.3559,                 1.8816,                 1.0411,                 1.3827,               0.008614,               0.008614,               0.008614
                     16,                 1.4714,                0.98627,                 1.2068,                0.77321,                0.74348,                0.77916,                  0.328,                 1.9969,                 1.0301,                 1.4466,               0.008515,               0.008515,               0.008515
                     17,                 1.4725,                0.97866,                 1.2076,                0.76392,                 0.6837,                0.72369,                0.31357,                 1.9459,                 1.0846,                 1.4191,               0.008416,               0.008416,               0.008416
